Repo,Title,Description,Date created,Date modified,Issue type,Milestone,State,Open/Closed,Reporter,URL
MDSchechtman/Terminal-Velocity,Track Circuit Error,"Line 59. In method ToTrain().  if(!double.IsNaN(speedLimit))

System: Terminal-Velocity - Program.cs

  Produced by running system at 10X wall speed 1 train on red line.  ""target trainID: xx was expected in track circuit ID:0 but was not found.""  The system has been running for 5 mins. 

You may need to update the track model data base.. use red.csv and green_1.csv.

Stack Trace
>	TrackController.dll!TrackController.TrackCircuit.ToTrain(int id, double speedLimit, int authority) Line 59	C#
 	TrackController.dll!TrackController.Plc.IsSafe(System.Collections.Generic.List<Interfaces.IBlock> blocks, System.Collections.Generic.List<Interfaces.ITrainModel> trains, System.Collections.Generic.Dictionary<int,System.Collections.Generic.List<Interfaces.IBlock>> routes, System.Collections.Generic.List<string> messages, bool proximityTrain, bool proximityBlock) Line 114 + 0x3c bytes	C#
 	TrackController.dll!TrackController.TrackController.PlcDoWork() Line 240 + 0x2e bytes	C#
 	TrackController.dll!TrackController.TrackController.EnvTick(object sender, Utility.TickEventArgs e) Line 284 + 0x8 bytes	C#
 	Environment.dll!SimulationEnvironment.SimulationEnvironment.OnTick(Utility.TickEventArgs e) Line 100 + 0x1a bytes	C#
 	Environment.dll!SimulationEnvironment.SimulationEnvironment._timer_Elapsed(object sender, System.Timers.ElapsedEventArgs e) Line 107 + 0x2c bytes	C#
 	[External Code]	
",12/13/2012 0:09,12/13/2012 0:45,Bug,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/58
MDSchechtman/Terminal-Velocity,Dispatching Trains,"Dispatching a train from CTC on the red line then immediately after on the green results in only a train on the red line.  

Assigned to Matt, Mike will also investigate.",12/13/2012 0:03,12/13/2012 12:02,Bug,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/57
MDSchechtman/Terminal-Velocity,Track Model Update Issue,"In the track model project.  We need to have you run a check to see if the block has been changed before updating it.  If the block did not change, do not update it and throw the TrackUpdated Event.  

Questions?",12/12/2012 20:14,12/12/2012 22:05,Bug,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/56
MDSchechtman/Terminal-Velocity,CTC -> Track Controller,"Track Controller does not respond to close track request.  (assuming open as well)... This could also be an issue on the Track Model

Assigned to Track Controller
Re-assign if necessary

",12/12/2012 16:41,12/12/2012 21:32,Bug,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/55
MDSchechtman/Terminal-Velocity,Track Model Gui does not refresh when new track is loaded,see title,12/12/2012 15:45,12/13/2012 8:18,,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/54
MDSchechtman/Terminal-Velocity,TrainController does not accept station information,"As discussed, the TrainController should accept some station information.  At the very least, and integer stating how far the station is.",12/12/2012 13:27,12/12/2012 14:36,Bug,None,,closed,MDSchechtman,https://github.com/MDSchechtman/Terminal-Velocity/issues/53
MDSchechtman/Terminal-Velocity,CTC Office Routing Tool Bug,"_endBlock is set, but then becomes null.  Further Investigation needed.  

Bug is reproducable",12/11/2012 15:59,12/11/2012 18:02,Bug,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/51
MDSchechtman/Terminal-Velocity,Triangulate returns Null on Yard Block,"this is due the the yard not being in the actual track layout. 
Yard unique identifier is having a speed limit of 500.  
I check the block for this unique id before requesting for triangulating the block.

",12/11/2012 14:27,12/11/2012 14:30,,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/50
MDSchechtman/Terminal-Velocity,CTC Office - Fix Routes In Request,fix routes in requests passed to track controllers,12/9/2012 13:42,12/9/2012 13:52,Bug,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/49
MDSchechtman/Terminal-Velocity,CTC Office- Lock Out Operator if Track is not loaded,TODO: lock out operator if track model has no valid data.. will unlock if 1 of 2 lines are done,12/9/2012 13:11,12/10/2012 1:03,New feature,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/48
MDSchechtman/Terminal-Velocity,Track Model - Track Changed,"Does this ever get reset back to none?  If so, when does this happen?",12/9/2012 13:09,12/11/2012 10:10,,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/47
MDSchechtman/Terminal-Velocity,CTC Office - Show Image Key ,show key of different images,12/9/2012 13:08,12/9/2012 14:51,New feature,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/46
MDSchechtman/Terminal-Velocity,CTC Office - Refresh Algorithm / Testing,Test and verify the population algorithm,12/9/2012 13:07,12/11/2012 11:23,Bug,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/45
MDSchechtman/Terminal-Velocity,Finding a track failure after a switch,"One way to avoid this issue is to make sure a there is only one track controller per switch and that the switch is always the first or last block the track controller sees.

The issue I am having is that it is incredibly difficult for me to find if there is a broken block beyond a switch; that is if the broken block is somewhere past SwitchDest1 or SwitchDest2.  I am requesting either a better way to find the broken block, or some way to avoid the issue entire, as I already mentioned.",12/6/2012 21:41,12/11/2012 18:06,New feature,None,,closed,MDSchechtman,https://github.com/MDSchechtman/Terminal-Velocity/issues/44
MDSchechtman/Terminal-Velocity,Train Model incorrectly calculates acceleration change due to grade,,12/6/2012 20:55,12/6/2012 22:11,Bug,None,,closed,dcf11,https://github.com/MDSchechtman/Terminal-Velocity/issues/43
MDSchechtman/Terminal-Velocity,TrackModel - High memory usage,"When the program loads, it consumes ~300-800mb.  This was found to be caused by LineData.cs where, instead of creating one instance of each Resource, created a new instance for each block.  

Please verify that the fix in place does not interfere with any other code.",12/6/2012 12:18,12/9/2012 22:25,Bug,None,,closed,MDSchechtman,https://github.com/MDSchechtman/Terminal-Velocity/issues/42
MDSchechtman/Terminal-Velocity,Vital Decisions in the Track Controller,"We don't want our trains crashing, I suppose.",12/6/2012 8:41,12/12/2012 12:56,New feature,None,,closed,MDSchechtman,https://github.com/MDSchechtman/Terminal-Velocity/issues/41
MDSchechtman/Terminal-Velocity,Null reference occurs if Train Model cannot find the next block during change,"If there is not a next block for the train, the Train Model throws a null reference exception when it reaches the end of the current block",12/5/2012 17:47,12/6/2012 20:55,Bug,None,,closed,dcf11,https://github.com/MDSchechtman/Terminal-Velocity/issues/40
MDSchechtman/Terminal-Velocity,Current acceleration not displaying correctly on Train Model GUI,The current acceleration is not showing up as anything.,12/5/2012 17:45,12/5/2012 17:45,Bug,None,,closed,dcf11,https://github.com/MDSchechtman/Terminal-Velocity/issues/39
MDSchechtman/Terminal-Velocity,Train Model GUI adds duplicate trains,"The Train Model GUI, upon adding a new train, re adds all the trains to the combo box without clearing them, resulting in duplicates in the list.",12/5/2012 16:57,12/5/2012 17:34,,None,,closed,dcf11,https://github.com/MDSchechtman/Terminal-Velocity/issues/38
MDSchechtman/Terminal-Velocity,Track Model Route Generation,"Feature needed by both the CTCOffice and Track Controller.

Given a start block (or a block the train is currently on) and an end block (Destination of point route), we need the Track Model to return a ""List<IBlock>"" of the blocks in order of traversal.",12/5/2012 13:54,12/11/2012 10:17,New feature,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/37
MDSchechtman/Terminal-Velocity,TrackController does not handle Routes,Implement handling of routes and switches,12/1/2012 17:12,12/10/2012 20:39,New feature,None,,closed,MDSchechtman,https://github.com/MDSchechtman/Terminal-Velocity/issues/36
MDSchechtman/Terminal-Velocity,ThreadStateException,"Hey guys,

I'm getting a ThreadStateException exception when I'm trying to pop-up a window to let the user select a file.

I remember this being discussed earlier, as it came up in some of your modules as well.

Is there a quick fix for this guy?  If it's complicated, I'll just ask you on Tuesday, but if you know an easy fix or a quick workaround, I'd love to hear it before then.",12/1/2012 16:34,12/5/2012 13:51,Bug,None,,closed,jeg90,https://github.com/MDSchechtman/Terminal-Velocity/issues/35
MDSchechtman/Terminal-Velocity,Cleanup master,Cleanup / refactor master to meet coding standards.,11/30/2012 11:41,11/30/2012 12:57,,None,,closed,MDSchechtman,https://github.com/MDSchechtman/Terminal-Velocity/issues/34
MDSchechtman/Terminal-Velocity,Environment Feature Request,Add abstraction and interface to have a yard that handles dispatching,11/29/2012 20:03,11/29/2012 20:09,New feature,None,,closed,mikeneiderhauser,https://github.com/MDSchechtman/Terminal-Velocity/issues/33
